"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-04-20","84.2","-2.4","5.93","Ohtani, Shohei",488771,660271,,"called_strike",,,,,"7","Jason Castro singles on a line drive to center fielder Brandon Marsh.","R","L","R","HOU","LAA","S",,,"3","1",2022,"1.59","0.18","-0.76","2.10",,,,"1","6","Bot",,,,,"545358",,,0.6598001923413626,-122.63128375825312,-2.844516548898854,15.752690311802338,26.59015745258892,-29.98564352224703,"3.61","1.69",,,,"84.9","2463","6.9",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.55",,,,,,,,"47","5","Slider","0","6","0","6","6","0","0","6","Infield shift","Standard","65","0","-0.073"
"SL","2022-04-20","84.9","-2.49","5.95","Ohtani, Shohei",488771,660271,,"ball",,,,,"13","Jason Castro singles on a line drive to center fielder Brandon Marsh.","R","L","R","HOU","LAA","B",,,"2","1",2022,"1.28","0.48","-1.55","2.56",,,,"1","6","Bot",,,,,"545358",,,-0.35919543564145767,-123.6239542968243,-2.5589779608784244,13.2050297462548,25.46403431986016,-26.986658516303972,"3.61","1.69",,,,"85.8","2452","6.9",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.62",,,,,,,,"47","4","Slider","0","6","0","6","6","0","0","6","Infield shift","Standard","72","0","0.087"
"FF","2022-04-20","98.5","-2.4","5.99","Ohtani, Shohei",488771,660271,,"ball",,,,,"11","Jason Castro singles on a line drive to center fielder Brandon Marsh.","R","L","R","HOU","LAA","B",,,"1","1",2022,"-0.22","1.38","-0.46","4.08",,,,"1","6","Bot",,,,,"545358",,,5.858449764191642,-143.3081734006854,-2.950574670041669,-4.493874141010317,34.8731029829707,-12.70127842594397,"3.61","1.69",,,,"99.5","2341","7",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.55",,,,,,,,"47","3","4-Seam Fastball","0","6","0","6","6","0","0","6","Infield shift","Standard","214","0","0.038"
"SL","2022-04-20","83.3","-2.33","5.9","Ohtani, Shohei",488771,660271,,"swinging_strike",,,,,"14","Jason Castro singles on a line drive to center fielder Brandon Marsh.","R","L","R","HOU","LAA","S",,,"1","0",2022,"1.74","0.01","0.41","1.31",,,,"1","6","Bot",,,,,"545358",,,2.8974753080701037,-121.20887617624709,-4.055464317264738,16.292313659788785,27.287005617255122,-31.36533948409021,"3.61","1.69",,,,"83.6","2547","6.9",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.64",,,,,,,,"47","2","Slider","0","6","0","6","6","0","0","6","Infield shift","Standard","59","0","-0.042"
"CU","2022-04-20","79.0","-1.92","6.31","Ohtani, Shohei",488771,660271,,"ball",,,,,"13","Jason Castro singles on a line drive to center fielder Brandon Marsh.","R","L","R","HOU","LAA","B",,,"0","0",2022,"1.28","-1.18","-1.29","0.96",,,,"1","6","Bot",,,,,"545358",,,-1.0257620792951943,-114.87955485963498,-2.4801911243957067,11.335819722717085,26.376562786201287,-42.1101502824633,"3.61","1.69",,,,"78.9","2597","6.8",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.7",,,,,,,,"47","1","Curveball","0","6","0","6","6","0","0","6","Infield shift","Standard","44","0","0.032"
"CU","2022-04-20","81.3","-2.01","6.29","Ohtani, Shohei",592348,660271,"strikeout","foul_tip",,,,,"13","Niko Goodrum strikes out on a foul tip.","R","L","R","HOU","LAA","S","2",,"2","2",2022,"1.17","-1.17","-0.85","2.06",,,,"0","6","Bot",,,,,"545358",,,0.3641358675283658,-118.29482443031628,-0.5154195182398701,10.784973143028516,26.283826617739237,-43.1325602133803,"3.63","1.67",,,,"81.5","2678","6.8",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.68",,,"0","1","0","0",,"46","6","Curveball","0","6","0","6","6","0","0","6","Infield shift","Standard","47","-0.007","-0.17"
"FF","2022-04-20","97.2","-2.41","6.05","Ohtani, Shohei",592348,660271,,"ball",,,,,"12","Niko Goodrum strikes out on a foul tip.","R","L","R","HOU","LAA","B",,,"1","2",2022,"0.04","1.19","1.02","4.05",,,,"0","6","Bot",,,,,"545358",,,9.190307313864817,-141.3499184136673,-2.531385469318103,-1.6488805484567415,33.12569754006329,-15.922667223549201,"3.63","1.67",,,,"97.9","2320","6.8",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.71",,,,,,,,"46","5","4-Seam Fastball","0","6","0","6","6","0","0","6","Infield shift","Standard","214","0","0.027"
"SL","2022-04-20","87.8","-2.47","5.9","Ohtani, Shohei",592348,660271,,"foul",,,,,"6","Niko Goodrum strikes out on a foul tip.","R","L","R","HOU","LAA","S",,,"1","2",2022,"1.08","0.64","0.30","2.86",,,,"0","6","Bot",,,,,"545358",,,4.534619838557912,-127.7715028000534,-2.5707898235119657,10.801629047330023,27.35020316324577,-24.819850904805794,"3.63","1.67","126","74.4","73","88.6","2535","6.9",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.6",,,,,,,,"46","4","Slider","0","6","0","6","6","0","0","6","Infield shift","Standard","69","0","0"
"FS","2022-04-20","90.6","-2.04","6.18","Ohtani, Shohei",592348,660271,,"ball",,,,,"14","Niko Goodrum strikes out on a foul tip.","R","L","R","HOU","LAA","B",,,"0","2",2022,"-0.75","0.06","0.22","-0.26",,,,"0","6","Bot",,,,,"545358",,,7.325823134799048,-131.46274691781892,-10.407804218477896,-10.20985883732031,25.99552356479126,-29.528410234855542,"3.63","1.67",,,,"91.8","1520","7",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.49",,,,,,,,"46","3","Split-Finger","0","6","0","6","6","0","0","6","Infield shift","Standard","226","0","0.01"
"SL","2022-04-20","84.1","-2.34","5.97","Ohtani, Shohei",592348,660271,,"swinging_strike",,,,,"14","Niko Goodrum strikes out on a foul tip.","R","L","R","HOU","LAA","S",,,"0","1",2022,"1.04","0.2","0.27","1.42",,,,"0","6","Bot",,,,,"545358",,,4.010965111136804,-122.45069267900188,-4.630436004454342,9.749977976350605,23.728263625429037,-29.418642306915647,"3.63","1.67",,,,"84.9","2495","6.8",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.74",,,,,,,,"46","2","Slider","0","6","0","6","6","0","0","6","Infield shift","Standard","68","0","-0.039"
