"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-04-24","83.8","1.28","5.53","Ohtani, Shohei",660271,672335,"single","hit_into_play",,,,,"5","Shohei Ohtani singles on a sharp line drive to center fielder Cedric Mullins.","R","L","L","LAA","BAL","X","8","line_drive","0","2",2022,"-1.09","-0.35","-0.17","2.79",,,,"2","8","Bot",119.67,80.07,,,"455139",,,-1.2047886109169355,-122.16248382921772,0.6504776042441323,-10.716642419507703,22.081088775255612,-35.987288374422555,"3.44","1.64","175","101.3","10","83","2651","5.5",661033,672335,"455139","663624","596059","642721","622761","669720","656775","623993","55.05","0.837","0.804","0.9","1","1","0","4","75","4","Slider","7","6","7","6","6","7","7","6","Infield shift","Standard","322","0.007","0.156"
"CH","2022-04-24","84.8","-1.82","6.23","Ohtani, Shohei",660271,595939,,"ball",,,,,"11","Shohei Ohtani walks.","R","L","R","LAA","BAL","B",,,"2","1",2022,"-1.27","0.51","-0.58","3.97",,,,"0","1","Bot",,,,,"455139",,,5.382829646931717,-123.44935503356272,-0.0062823360239268045,-14.043886155112359,23.759909561412993,-27.13714160844591,"3.43","1.68",,,,"84.3","1682","5.9",661033,595939,"455139","663624","572008","642721","622761","669720","656775","623993","54.64",,,,,,,,"5","4","Changeup","0","0","0","0","0","0","0","0","Infield shift","Standard","248","0","0.103"
"FF","2022-04-24","91.5","-1.74","6.23","Ohtani, Shohei",660271,595939,,"foul",,,,,"6","Shohei Ohtani walks.","R","L","R","LAA","BAL","S",,,"2","0",2022,"-1.18","1.1","0.39","2.58",,,,"0","1","Bot",,,,,"455139",,,7.875982639657605,-133.0718134714806,-5.742750114411814,-15.617158537177906,26.853881985860525,-17.994046040403248,"3.44","1.64","85","79.0","5","91.5","2260","6.2",661033,595939,"455139","663624","572008","642721","622761","669720","656775","623993","54.33",,,,,,,,"5","3","4-Seam Fastball","0","0","0","0","0","0","0","0","Infield shift","Standard","231","0","-0.041"
"SL","2022-04-24","85.4","1.06","5.55","Ohtani, Shohei",660271,672335,,"foul",,,,,"7","Shohei Ohtani singles on a sharp line drive to center fielder Cedric Mullins.","R","L","L","LAA","BAL","S",,,"0","2",2022,"-0.81","-0.48","-0.53","1.61",,,,"2","8","Bot",,,,,"455139",,,-2.0978659053416253,-124.48986553027153,-2.105725267357171,-8.119751085489405,22.976144376936773,-36.99136221799838,"3.44","1.64","2","65.3","-35","84.8","2660","5.6",661033,672335,"455139","663624","596059","642721","622761","669720","656775","623993","54.88",,,,,,,,"75","3","Slider","7","6","7","6","6","7","7","6","Infield shift","Standard","340","0","0"
"FF","2022-04-24","90.7","-1.7","6.17","Ohtani, Shohei",660271,595939,,"ball",,,,,"11","Shohei Ohtani walks.","R","L","R","LAA","BAL","B",,,"1","0",2022,"-1.15","1.09","-1.25","3.37",,,,"0","1","Bot",,,,,"455139",,,3.578655375890285,-132.10389807097283,-3.4340329869823782,-14.21653621086376,27.809249161080896,-18.888685481620232,"3.27","1.57",,,,"90.6","2274","6.2",661033,595939,"455139","663624","572008","642721","622761","669720","656775","623993","54.35",,,,,,,,"5","2","4-Seam Fastball","0","0","0","0","0","0","0","0","Infield shift","Standard","227","0","0.053"
"FF","2022-04-24","97.6","1","5.61","Ohtani, Shohei",660271,672335,,"swinging_strike",,,,,"12","Shohei Ohtani singles on a sharp line drive to center fielder Cedric Mullins.","R","L","L","LAA","BAL","S",,,"0","1",2022,"0.37","1.56","0.94","4.02",,,,"2","8","Bot",,,,,"455139",,,-0.9821056941206641,-142.1406325901384,-2.348303214010828,5.193960995372272,31.85972256211325,-10.625650258248985,"3.44","1.64",,,,"96.8","2110","5.7",661033,672335,"455139","663624","596059","642721","622761","669720","656775","623993","54.78",,,,,,,,"75","2","4-Seam Fastball","7","6","7","6","6","7","7","6","Infield shift","Standard","150","0","-0.026"
"FF","2022-04-24","89.6","-1.59","6.33","Ohtani, Shohei",660271,595939,,"ball",,,,,"11","Shohei Ohtani walks.","R","L","R","LAA","BAL","B",,,"0","0",2022,"-1.14","1.11","-1.28","2.70",,,,"0","1","Bot",,,,,"455139",,,3.155985987058104,-130.44744427352396,-5.317075704260327,-13.739277515393011,26.406438621339987,-18.566488929451708,"3.49","1.74",,,,"89.1","2176","5.9",661033,595939,"455139","663624","572008","642721","622761","669720","656775","623993","54.61",,,,,,,,"5","1","4-Seam Fastball","0","0","0","0","0","0","0","0","Infield shift","Standard","229","0","0.035"
"FF","2022-04-24","96.7","1.19","5.55","Ohtani, Shohei",660271,672335,,"called_strike",,,,,"1","Shohei Ohtani singles on a sharp line drive to center fielder Cedric Mullins.","R","L","L","LAA","BAL","S",,,"0","0",2022,"0.53","1.39","-0.68","2.88",,,,"2","8","Bot",,,,,"455139",,,-6.145040018733455,-140.81324399691962,-4.777422426175702,8.3209489371089,29.253374614329584,-12.68678507304802,"3.37","1.64",,,,"96.4","2093","5.9",661033,672335,"455139","663624","596059","642721","622761","669720","656775","623993","54.6",,,,,,,,"75","1","4-Seam Fastball","7","6","7","6","6","7","7","6","Infield shift","Standard","159","0","-0.02"
"FC","2022-04-23","88.3","-1.89","6.19","Ohtani, Shohei",660271,657093,"strikeout","foul_tip",,,,,"11","Shohei Ohtani strikes out on a foul tip.","R","L","R","LAA","BAL","S","2",,"2","2",2022,"0.37","0.55","-0.94","3.04",,,,"1","5","Bot",,,,,"621532",,,1.5574608055178405,-128.59865532015345,-2.74646209388595,3.78977124277406,26.901821849394583,-25.690177244858766,"3.43","1.62",,,,"88.7","2717","6.5",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","54.02",,,"0","1","0","0",,"39","6","Cutter","1","2","1","2","2","1","1","2","Infield shift","Standard","96","-0.024","-0.137"
"FF","2022-04-23","93.2","-1.62","6.28","Ohtani, Shohei",660271,657093,,"ball",,,,,"11","Shohei Ohtani strikes out on a foul tip.","R","L","R","LAA","BAL","B",,,"1","2",2022,"-0.15","1.33","-1.40","4.86",,,,"1","5","Bot",,,,,"621532",,,0.8744036902030026,-135.70694673012866,-0.8051020813270297,-2.0526345599902385,30.474668977144585,-15.787518445139781,"3.56","1.58",,,,"93.1","2193","6.2",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","54.26",,,,,,,,"39","5","4-Seam Fastball","1","2","1","2","2","1","1","2","Infield shift","Standard","206","0","0.032"
"CH","2022-04-23","86.7","-1.8","6.22","Ohtani, Shohei",660271,657093,,"foul",,,,,"7","Shohei Ohtani strikes out on a foul tip.","R","L","R","LAA","BAL","S",,,"1","2",2022,"-0.91","0.84","-0.35","2.10",,,,"1","5","Bot",,,,,"621532",,,5.327455829227419,-126.117507242677,-5.376678531793274,-10.770991106367958,26.544956367204307,-22.2656761074381,"3.43","1.62",,,,"86.8","1597","6.5",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","54.05",,,,,,,,"39","4","Changeup","1","2","1","2","2","1","1","2","Infield shift","Standard","203","0","0"
"FC","2022-04-23","86.7","-1.89","6.17","Ohtani, Shohei",660271,657093,,"swinging_strike",,,,,"13","Shohei Ohtani strikes out on a foul tip.","R","L","R","LAA","BAL","S",,,"1","1",2022,"0.73","0.22","-0.16","1.35",,,,"1","5","Bot",,,,,"621532",,,2.638495921000463,-126.28003123199248,-5.812782694941226,7.300903001724648,25.302199583863494,-28.897750241970726,"3.43","1.62",,,,"87.1","2487","6.4",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","54.06",,,,,,,,"39","3","Cutter","1","2","1","2","2","1","1","2","Infield shift","Standard","90","0","-0.041"
"CH","2022-04-23","87.8","-1.87","6.17","Ohtani, Shohei",660271,657093,,"foul",,,,,"4","Shohei Ohtani strikes out on a foul tip.","R","L","R","LAA","BAL","S",,,"1","0",2022,"-1.08","1.01","-0.53","2.57",,,,"1","5","Bot",,,,,"621532",,,5.443457262711057,-127.62067748579157,-4.643467200251502,-12.919638675404437,28.09959780680556,-20.330486052716683,"3.43","1.62","2","59.1","-48","87.3","1704","6.2",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","54.31",,,,,,,,"39","2","Changeup","1","2","1","2","2","1","1","2","Infield shift","Standard","208","0","-0.039"
"FF","2022-04-23","91.9","-1.75","6.23","Ohtani, Shohei",660271,657093,,"ball",,,,,"13","Shohei Ohtani strikes out on a foul tip.","R","L","R","LAA","BAL","B",,,"0","0",2022,"0.3","1.06","-0.40","1.36",,,,"1","5","Bot",,,,,"621532",,,2.788239673089949,-133.46504821127783,-8.774108669306843,2.913644557407678,32.3837201858484,-17.676835698371693,"3.43","1.6",,,,"92.1","2369","6.8",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","53.69",,,,,,,,"39","1","4-Seam Fastball","1","2","1","2","2","1","1","2","Infield shift","Standard","188","0","0.028"
"FF","2022-04-23","93.3","-1.81","6.28","Ohtani, Shohei",660271,657093,"double_play","hit_into_play",,,,,"1","Shohei Ohtani lines into a double play, third baseman Ramon Urias to shortstop Jorge Mateo.   Tyler Wade out at 2nd.","R","L","R","LAA","BAL","X","5","line_drive","2","2",2022,"0.22","1.34","-0.38","3.27",,"642180","623205","1","2","Bot",98.63,159.85,,,"621532",,,3.1962859171581535,-135.7927740448048,-4.937176004325341,1.974760473009932,30.32820254573255,-14.691981329630691,"3.43","1.62","125","83.8","8","93.3","2258","6.3",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","54.15","0.409","0.372","0","1","0","0","4","20","6","4-Seam Fastball","1","2","1","2","2","1","1","2","Infield shift","Standard","200","-0.097","-0.353"
"FC","2022-04-23","86.8","-2.12","6.24","Ohtani, Shohei",660271,657093,,"ball",,,,,"11","Shohei Ohtani lines into a double play, third baseman Ramon Urias to shortstop Jorge Mateo.   Tyler Wade out at 2nd.","R","L","R","LAA","BAL","B",,,"1","2",2022,"0.51","0.31","-1.32","3.07",,"642180","623205","1","2","Bot",,,,,"621532",,,0.8737651433482116,-126.40966991243442,-2.002368641699299,5.229534674609547,26.85717140161927,-28.668701935766872,"3.34","1.55",,,,"86.7","2429","6.3",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","54.22",,,,,,,,"20","5","Cutter","1","2","1","2","2","1","1","2","Infield shift","Standard","154","0","0.023"
"CH","2022-04-23","86.9","-1.98","6.24","Ohtani, Shohei",660271,657093,,"foul",,,,,"7","Shohei Ohtani lines into a double play, third baseman Ramon Urias to shortstop Jorge Mateo.   Tyler Wade out at 2nd.","R","L","R","LAA","BAL","S",,,"1","2",2022,"-0.92","0.72","-0.30","1.78",,"642180","623205","1","2","Bot",,,,,"621532",,,5.90194510088179,-126.49091014898335,-6.034223259493502,-11.048267904888837,23.30199179498421,-23.438309262845053,"3.43","1.62","1","71.6","-49","87.4","1789","6.4",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","54.14",,,,,,,,"20","4","Changeup","1","2","1","2","2","1","1","2","Infield shift","Standard","216","0","0"
"CH","2022-04-23","87.0","-1.85","6.21","Ohtani, Shohei",660271,657093,,"foul_tip",,,,,"7","Shohei Ohtani lines into a double play, third baseman Ramon Urias to shortstop Jorge Mateo.   Tyler Wade out at 2nd.","R","L","R","LAA","BAL","S",,,"1","1",2022,"-1.1","0.94","-0.81","1.90",,"642180","623205","1","2","Bot",,,,,"621532",,,4.758072212708402,-126.62294071146168,-6.127741147310084,-12.780432767515073,24.69173823193226,-20.990483304052912,"3.43","1.62",,,,"87.3","1642","6.4",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","54.12",,,,,,,,"20","3","Changeup","1","2","1","2","2","1","1","2","Infield shift","Standard","204","0","-0.11"
"FC","2022-04-23","85.5","-1.97","6.27","Ohtani, Shohei",660271,657093,,"foul",,,,,"5","Shohei Ohtani lines into a double play, third baseman Ramon Urias to shortstop Jorge Mateo.   Tyler Wade out at 2nd.","R","L","R","LAA","BAL","S",,,"1","0",2022,"0.47","0.27","-0.12","2.72",,"642180","623205","1","2","Bot",,,,,"621532",,,3.431284342786735,-124.64875221025267,-2.7313775159438998,4.310054433654113,22.29824318543335,-29.022007116598147,"3.43","1.62","218","74.8","42","86","2333","6.3",661035,657093,"621532","663624","596059","602104","622761","669720","656775","641820","54.24",,,,,,,,"20","2","Cutter","1","2","1","2","2","1","1","2","Infield shift","Standard","137","0","-0.079"
